title,source
Shri Dharmendra Pradhan chairs Global Young Scientists Conference and Annual General Meeting of the Global Young Academy,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135357
Union Commerce and Industry Minister Shri Piyush Goyal Invites Swiss Industry to Partner in India’s Growth Story at Swissmem Industry Day,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135485
"The Union Minister of Housing and Urban Affairs & Power, Shri Manohar Lal addressing a Press Conference on achievements of the Ministry of Power over the past 11 years at National Media Centre, in New Delhi on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185268
"Yoga unites us; Thousands gathered at Nghinh Phong Tower to celebrate the spirit of Yoga, organized by the Consulate General of India & Phu Yen Province, the event was a true reflection of global harmony on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185252
"On the occasion of Harit Yoga, the spirited team of students, staff, and doctors of National Institute of Naturopathy, Pune embarked on a rejuvenating Yoga Trek to Sinhagad Fort blending the serenity of yoga with the strength of nature and the joy of togetherness on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185249
"On the occasion of Harit Yoga, the spirited team of students, staff, and doctors of National Institute of Naturopathy, Pune embarked on a rejuvenating Yoga Trek to Sinhagad Fort blending the serenity of yoga with the strength of nature and the joy of togetherness on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185250
PM shares an article highlighting expansion of India's sports infrastructure in last 11 years,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135308
Stars Align for Wellness: Celebrities and Influencers Come forward to Promote the International Day of Yoga 2025,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135391
"India in Sao Paulo, Brazil collaborated with Prof. Lígia Padilha for a special yoga session at São João Clube, Atibaia, as part of the IDY2025 countdown. The session was led by Teacher of Indian Culture, Mr. Satyendra followed by meditation and distribution of the Common Yoga Protocol books on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185256
"The Union Minister for Defence, Shri Rajnath Singh addressing a dialogue on the topic “National Security & Terrorism” at Dehradun, in Uttarakhand on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185270
CCI approves the acquisition of certain shareholding in Kolte-Patil Developers Limited by BREP Asia III India Holding Co VII Pte. Ltd.,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135482
BRIC-THSTI hosted a symposium on ‘Discovery and development of monoclonal antibody therapeutics’,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135445
"Dr. Jitendra Singh Pushes for Global Ocean Pact, Showcases Deep Sea Mission and Plastic Ban at UN Ocean Conference",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135434
PM shares an article highlighting India’s Digital Connectivity Revolution in last 11 years,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135354
Union Minister of Agriculture Shri Shivraj Singh Chouhan to meet farmers from Delhi tomorrow,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135456
MoHUA issues Advisory for Repurposing of Smart City SPVs,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135474
Operation Sindoor is proof that Govt has transformed India’s security apparatus by changing attitude towards national security issues: Raksha Mantri,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135420
Delhi Chief Minister meets Prime Minister,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2135330
"Yoga unites us; Thousands gathered at Nghinh Phong Tower to celebrate the spirit of Yoga, organized by the Consulate General of India & Phu Yen Province, the event was a true reflection of global harmony on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185251
"The Union Minister of Communications and Development of North Eastern Region (DoNER), Shri Jyotiraditya M. Scindia addressing at unveil the theme for 9th Edition of India Mobile Congress 2025: ‘Innovate to Transform’ and launch the Student Volunteers led ‘Sanchar Mitra Scheme’ for citizen awareness, in New Delhi on May 26, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=184023
"The Minister of State for Defence, Shri Sanjay Seth visited the Army Training Command (ARTRAC) based at Shimla, in Himachal Pradesh on June 09, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185244
"The Union Minister for Defence, Shri Rajnath Singh addressing a dialogue on the topic “National Security & Terrorism” at Dehradun, in Uttarakhand on June 10, 2025.",https://pib.gov.in/FrontPhotoGallery.aspx?CategoryId=185271
